 rho spower powden powden_e                            powden_i powden_cl
  0.5233E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5271E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5310E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5348E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5387E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5426E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5464E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5503E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5541E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5580E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5619E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5657E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5696E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5735E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5773E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5812E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5850E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5889E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5928E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.5966E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6005E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6044E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6082E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6121E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6159E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6198E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6237E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6275E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
